section,kind,subject,metric,value,threshold,comparison,detail
1.3,CARD_OVER_BUDGET,iron_bark,score,3.1,3,above,"Iron Bark (iron_bark) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,lance,score,3.8,3,above,"Lance (lance) costs 1 energy and scores 3.8, 0.8 over the 3 budget for that cost. (score excludes unscored DISCARD action(s) - actual value is at least this.)"
1.3,CARD_OVER_BUDGET,lumen_surge,score,4.5,3,above,"Lumen Surge (lumen_surge) costs 1 energy and scores 4.5, 1.5 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,molten_core,score,3.9,3,above,"Molten Core (molten_core) costs 1 energy and scores 3.9, 0.9 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,overgrowth,score,3.6,3,above,"Overgrowth (overgrowth) costs 1 energy and scores 3.6, 0.6 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,photosynthesis_v2,score,3.2,3,above,"Photosynthesis (photosynthesis_v2) costs 1 energy and scores 3.2, 0.2 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,pollen_cloud,score,1.1,1,above,"Pollen Cloud (pollen_cloud) costs 0 energy and scores 1.1, 0.1 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,pressure_point,score,3.1,3,above,"Pressure Point (pressure_point) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,purify,score,3.3,3,above,"Purify (purify) costs 1 energy and scores 3.3, 0.3 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,shield_shards,score,3.1,3,above,"Shield Shards (shield_shards) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,sky_burial_ascended,score,4.1,3,above,"Sky Burial, Ascended (sky_burial_ascended) costs 1 energy and scores 4.1, 1.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,sleep_powder,score,4.5,3,above,"Sleep Powder (sleep_powder) costs 1 energy and scores 4.5, 1.5 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,slipstream,score,1.4,1,above,"Slipstream (slipstream) costs 0 energy and scores 1.4, 0.4 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,stunning_strike,score,8.4,6.5,above,"Stunning Strike (stunning_strike) costs 2 energy and scores 8.4, 1.9 over the 6.5 budget for that cost."
1.3,CARD_OVER_BUDGET,sun_devourer,score,8.4,6.5,above,"Sun Devourer (sun_devourer) costs 2 energy and scores 8.4, 1.9 over the 6.5 budget for that cost."
1.3,CARD_OVER_BUDGET,thaw,score,3.1,3,above,"Thaw (thaw) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,thistle_barrage,score,3.2,3,above,"Thistle Barrage (thistle_barrage) costs 1 energy and scores 3.2, 0.2 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,thorn_tithe,score,3.1,3,above,"Thorn Tithe (thorn_tithe) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,thornguard,score,3.3,3,above,"Thornguard (thornguard) costs 1 energy and scores 3.3, 0.3 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,umbral_feast,score,14.9,3,above,"Umbral Feast (umbral_feast) costs 1 energy and scores 14.9, 11.9 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,undertow,score,1.4,1,above,"Undertow (undertow) costs 0 energy and scores 1.4, 0.4 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,water_slap,score,1.2,1,above,"Tackle (water_slap) costs 0 energy and scores 1.2, 0.2 over the 1 budget for that cost."
2.3,OS_GAP,os:audhumbla,osGap,0.34,0.15,above,audhumbla_v1 wins 84.0% of the 100 decided games between audhumbla_v1 and audhumbla_v2 on an otherwise identical audhumbla. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:audhumbla,osGap,0.34,0.15,above,audhumbla_v1 wins 84.0% of the 100 decided games between audhumbla_v1 and audhumbla_v2 on an otherwise identical audhumbla. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:draugr,osGap,0.32,0.15,above,draugr_v2 wins 82.0% of the 100 decided games between draugr_v1 and draugr_v2 on an otherwise identical draugr. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:draugr,osGap,0.32,0.15,above,draugr_v2 wins 82.0% of the 100 decided games between draugr_v1 and draugr_v2 on an otherwise identical draugr. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:fafnir,osGap,0.19,0.15,above,fafnir_v1 wins 69.0% of the 100 decided games between fafnir_v1 and fafnir_v2 on an otherwise identical fafnir. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:fafnir,osGap,0.19,0.15,above,fafnir_v1 wins 69.0% of the 100 decided games between fafnir_v1 and fafnir_v2 on an otherwise identical fafnir. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:fenrir,osGap,0.18,0.15,above,fenrir_v2 wins 68.0% of the 100 decided games between fenrir_v1 and fenrir_v2 on an otherwise identical fenrir. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:fenrir,osGap,0.18,0.15,above,fenrir_v2 wins 68.0% of the 100 decided games between fenrir_v1 and fenrir_v2 on an otherwise identical fenrir. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:gullinbursti,osGap,0.21,0.15,above,gullinbursti_v1 wins 71.0% of the 100 decided games between gullinbursti_v1 and gullinbursti_v2 on an otherwise identical gullinbursti. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:gullinbursti,osGap,0.21,0.15,above,gullinbursti_v1 wins 71.0% of the 100 decided games between gullinbursti_v1 and gullinbursti_v2 on an otherwise identical gullinbursti. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:huldra,osGap,0.49,0.15,above,huldra_v1 wins 99.0% of the 100 decided games between huldra_v1 and huldra_v2 on an otherwise identical huldra. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:huldra,osGap,0.49,0.15,above,huldra_v1 wins 99.0% of the 100 decided games between huldra_v1 and huldra_v2 on an otherwise identical huldra. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:kraken,osGap,0.18,0.15,above,kraken_v2 wins 68.0% of the 100 decided games between kraken_v1 and kraken_v2 on an otherwise identical kraken. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:kraken,osGap,0.18,0.15,above,kraken_v2 wins 68.0% of the 100 decided games between kraken_v1 and kraken_v2 on an otherwise identical kraken. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:nidhoggr,osGap,0.28,0.15,above,nidhoggr_v2 wins 78.0% of the 100 decided games between nidhoggr_v1 and nidhoggr_v2 on an otherwise identical nidhoggr. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:nidhoggr,osGap,0.28,0.15,above,nidhoggr_v2 wins 78.0% of the 100 decided games between nidhoggr_v1 and nidhoggr_v2 on an otherwise identical nidhoggr. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:ratatoskr,osGap,0.37,0.15,above,ratatoskr_v2 wins 87.0% of the 100 decided games between ratatoskr_v1 and ratatoskr_v2 on an otherwise identical ratatoskr. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:ratatoskr,osGap,0.37,0.15,above,ratatoskr_v2 wins 87.0% of the 100 decided games between ratatoskr_v1 and ratatoskr_v2 on an otherwise identical ratatoskr. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:skoll,osGap,0.35,0.15,above,skoll_v2 wins 85.0% of the 100 decided games between skoll_v1 and skoll_v2 on an otherwise identical skoll. The weaker variant needs a buff or a lower cost.
2.3,OS_GAP,os:skoll,osGap,0.35,0.15,above,skoll_v2 wins 85.0% of the 100 decided games between skoll_v1 and skoll_v2 on an otherwise identical skoll. The weaker variant needs a buff or a lower cost.
